price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,price_category,description_len
7800,2007.0,gmc,other,8,gas,190000.0,clean,automatic,other,other,other,other,ma,43.0,-72.0,low,107
29990,2017.0,honda,good,0,other,25196.0,clean,other,other,other,SUV,white,ca,34.0,-84.0,high,3974
38991,2015.0,dodge,other,0,gas,61269.0,clean,automatic,rwd,other,coupe,black,ca,39.0,-121.0,high,10128
9995,2015.0,chrysler,excellent,4,gas,47720.0,clean,automatic,fwd,mid-size,sedan,grey,oh,40.0,-83.0,medium,7829
10998,2013.0,ford,excellent,0,gas,115162.0,clean,automatic,fwd,other,sedan,other,oh,41.0,-84.0,medium,4510
24000,2015.0,rover,other,0,gas,26600.0,clean,automatic,other,other,SUV,other,hi,21.0,-158.0,high,4818
19990,2017.0,fiat,good,0,gas,6054.0,clean,other,fwd,other,hatchback,other,nc,35.0,-81.0,medium,4094
27590,2017.0,bmw,good,0,other,23631.0,clean,other,other,other,SUV,black,co,41.0,-105.0,high,4407
15590,2015.0,mazda,good,0,gas,51321.0,clean,other,fwd,other,sedan,brown,ma,42.0,-72.0,medium,4198
1750,2007.0,gmc,good,6,gas,128000.0,clean,automatic,4wd,other,SUV,white,ca,35.0,-121.0,low,389
15999,2014.0,honda,other,0,gas,99068.0,clean,automatic,other,other,SUV,other,nc,35.0,-81.0,medium,2661
50995,2020.0,cadillac,like new,6,gas,7025.0,clean,automatic,fwd,full-size,SUV,white,ok,36.0,-98.0,high,345
10495,2012.0,volkswagen,other,4,diesel,41267.0,clean,automatic,fwd,other,wagon,other,fl,30.0,-82.0,medium,2465
5290,2004.0,honda,like new,4,gas,79000.0,clean,automatic,fwd,mid-size,coupe,silver,fl,28.0,-82.0,low,877
16995,2016.0,hyundai,other,0,gas,79000.0,clean,automatic,other,other,other,other,ny,42.0,-76.0,medium,189
10300,2012.0,volkswagen,other,4,gas,146947.0,clean,manual,other,other,other,other,tn,36.0,-87.0,medium,2955
47893,2017.0,ram,other,0,diesel,104974.0,clean,automatic,other,other,other,other,nc,36.0,-80.0,high,2045
15590,2015.0,nissan,good,0,gas,63911.0,clean,other,fwd,other,hatchback,white,co,40.0,-105.0,medium,4104
8499,2011.0,honda,good,4,gas,86426.0,clean,manual,fwd,mid-size,coupe,black,de,40.0,-75.0,low,1151
7500,1969.0,chevrolet,other,0,gas,150000.0,clean,manual,other,other,other,red,ca,38.0,-121.0,low,353
14952,2015.0,toyota,other,4,gas,48677.0,clean,automatic,fwd,mid-size,sedan,silver,fl,27.0,-82.0,medium,340
4950,2008.0,nissan,good,4,gas,76000.0,clean,manual,fwd,compact,hatchback,black,wi,44.0,-89.0,low,285
8300,2008.0,ford,other,0,gas,144000.0,salvage,automatic,rwd,other,other,white,ca,34.0,-118.0,low,409
71999,2019.0,chevrolet,other,0,diesel,29723.0,clean,automatic,4wd,other,truck,white,wa,46.0,-119.0,high,5354
13577,2013.0,chevrolet,good,4,gas,104130.0,clean,automatic,other,other,SUV,white,wa,48.0,-122.0,medium,7610
18900,2014.0,ford,excellent,6,gas,94000.0,clean,automatic,fwd,full-size,SUV,black,oh,39.0,-84.0,medium,154
24900,2015.0,gmc,other,0,gas,145000.0,clean,automatic,other,other,other,other,ar,36.0,-94.0,high,481
17990,2018.0,hyundai,good,0,gas,24163.0,clean,other,fwd,other,sedan,white,il,42.0,-89.0,medium,4076
12995,2016.0,kia,other,4,gas,94179.0,clean,automatic,fwd,other,wagon,custom,mo,39.0,-90.0,medium,2518
7900,2009.0,toyota,excellent,4,gas,110675.0,clean,automatic,fwd,other,sedan,silver,pa,40.0,-76.0,low,620
9995,2014.0,buick,excellent,4,gas,143543.0,clean,automatic,4wd,other,sedan,white,in,40.0,-86.0,medium,782
15990,2016.0,other,good,0,gas,34439.0,clean,other,fwd,other,hatchback,green,tx,29.0,-98.0,medium,4655
4000,2006.0,buick,fair,6,gas,121338.0,clean,automatic,fwd,full-size,sedan,red,fl,28.0,-82.0,low,242
29990,2018.0,toyota,good,0,gas,14520.0,clean,other,other,other,other,red,ct,42.0,-73.0,high,4495
19995,2004.0,ford,other,8,diesel,89970.0,clean,automatic,4wd,other,truck,blue,wa,46.0,-119.0,medium,3384
41975,2017.0,ford,excellent,8,diesel,73000.0,clean,automatic,4wd,other,pickup,white,va,38.0,-78.0,high,348
17900,2013.0,ram,excellent,8,gas,145499.0,other,automatic,other,other,truck,other,ca,34.0,-118.0,medium,3929
4800,2008.0,honda,other,0,gas,166000.0,clean,automatic,other,other,other,other,ca,34.0,-118.0,low,278
18990,2015.0,volvo,good,0,other,37238.0,clean,other,other,other,sedan,silver,ny,42.0,-76.0,medium,4213
4955,1999.0,gmc,excellent,8,gas,195000.0,clean,automatic,rwd,mid-size,SUV,custom,ca,34.0,-118.0,low,1339
31900,2019.0,ford,excellent,6,gas,29497.0,clean,automatic,rwd,full-size,van,white,tn,36.0,-87.0,high,1160
4550,2011.0,chevrolet,other,4,gas,74321.0,clean,automatic,fwd,other,sedan,black,nv,41.0,-112.0,low,791
9995,2008.0,lincoln,other,0,gas,143357.0,clean,automatic,fwd,other,other,black,in,40.0,-86.0,medium,4616
26999,2015.0,toyota,other,6,gas,68456.0,clean,automatic,other,other,other,custom,tn,37.0,-87.0,high,3949
8500,1973.0,porsche,good,4,gas,1000.0,clean,manual,rwd,other,coupe,blue,oh,40.0,-84.0,low,1334
15995,2016.0,ford,other,0,gas,168392.0,clean,automatic,other,other,other,other,or,45.0,-123.0,medium,2281
18850,2020.0,chevrolet,other,0,gas,19000.0,rebuilt,automatic,other,other,other,other,ne,41.0,-97.0,medium,446
